,Club_Name,MANAGER,NATIONALITY
0,UD Almería ,Rubi, Spain
1,Athletic Bilbao ,Ernesto Valverde, Spain
2,Atlético de Madrid ,Diego Simeone,Argentina
3,FC Barcelona ,Xavi Hernandez, Spain
4,Cádiz,Sergio González, Spain
5,Celta de Vigo ,Carlos Carvalhal,Portugal
6,Elche,Pablo Machín, Spain
7,Espanyol,Diego Martínez, Spain
8,Getafe CF ,Quique Sánchez Flores, Spain
9,Girona FC ,Míchel Sánchez, Spain
10,RCD Mallorca ,Javier Aguirre, Mexico
11,CA Osasuna ,Jagoba Arrasate, Spain
12,Rayo Vallecano ,Andoni Iraola, Spain
13,Real Betis,Manuel Pellegrini,Chile
14,Real Madrid ,Carlo Ancelotti,Italy
15,Real Sociedad ,Imanol Alguacil, Spain
16,Sevilla FC ,Jorge Sampaoli,Argentina
17,Valencia CF ,Rubén Baraja, Spain
18,Valladolid,Pacheta, Spain
19,Villarreal CF ,Quique Setien, Spain
20,Arsenal FC ,Mikel Arteta, Spain
21,Aston Villa ,Unai Emery, Spain
22,AFC Bournemouth ,Gary O'Neil, England
23,Brentford FC ,Thomas Frank,Denmark
24,Brighton & Hove Albion ,Roberto De Zerbi, Italy
25,Chelsea,Graham Potter, England
26,Crystal Palace ,Roy Hodgson, England
27,Everton,Sean Dyche, England
28,Fulham FC ,Marco Silva,Portugal
29,Leeds United ,Javi Gracia, Spain
30,Leicester City ,Brendan Rodgers,Northern Ireland
31,Liverpool FC ,Jürgen Klopp, Germany
32,Manchester City ,Pep Guardiola, Spain
33,Manchester United ,Erik ten Hag, Netherlands
34,Newcastle United ,Eddie Howe, England
35,Nottingham Forest ,Steve Cooper,Wales
36,Southampton FC ,Rubén Sellés (caretaker), Spain
37,Tottenham Hotspur ,Cristian Stellini (interim), Italy
38,West Ham United ,David Moyes, Scotland
39,Wolverhampton Wanderers ,Julen Lopetegui, Spain
40,FC Augsburg ,Enrico Maaßen,Germany
41,Hertha BSC ,Pál Dárdai,Hungary
42,FC Union Berlin ,Urs Fischer,Switzerland
43,VfL Bochum ,Thomas Letsch,Germany
44,SV Werder Bremen ,Ole Werner,Germany
45,Borussia Dortmund ,Edin Terzić,Germany
46,Eintracht Frankfurt ,Oliver Glasner,Austria
47,SC Freiburg ,Christian Streich,Germany
48,TSG 1899 Hoffenheim,Pellegrino Matarazzo,USA
49,FC Köln,Steffen Baumgart,Germany
50,RB Leipzig ,Marco Rose,Germany
51,Bayer 04 Leverkusen,Xabi Alonso,Spain
52,FSV Mainz 05,Bo Svensson,Denmark
53,Borussia Mönchengladbach ,Daniel Farke,Germany
54,Bayern Munich ,Thomas Tuchel,Germany
55,FC Schalke 04,Thomas Reis,Germany
56,VfB Stuttgart ,Sebastian Hoeneß,Germany
57,VfL Wolfsburg ,Niko Kovač,Croatia
58,AC Ajaccio ,Olivier Pantaloni,France
59,Angers,Alexandre Dujeux,France
60,AJ Auxerre ,Christophe Pélissier,France
61,Brest,Eric Roy,France
62,Clermont,Pascal Gastien,France
63,León,Franck Haise,France
64,Lille,Paulo Fonseca,Portugal
65,FC Lorient ,Régis Le Bris,France
66,Lyon,Laurent Blanc,France
67,Marseille,Igor Tudor,Croatia
68,AS Monaco ,Philippe Clement,Belgium
69,Montpellier HSC ,Michel Der Zakarian,Armenia
70,FC Nantes ,Pierre Aristouy,France
71,Nice,Didier Digard(caretaker),France
72,Paris Saint-Germain ,Christophe Galtier,France
73,Reims,Will Still,Belgium
74,Rennes,Bruno Génésio,France
75,Strasbourg,Frédéric Antonetti,France
76,FC Toulouse ,Philippe Montanier,France
77,Troyes,Patrick Kisnorbo,Australia
78,Atlante,Gian Piero Gasperini,Italy
79,Bologna,Thiago Motta,Italy
80,US Cremonese ,Davide Ballardini,Italy
81,FC Empoli ,Paolo Zanetti,Italy
82,ACF Fiorentina ,Vincenzo Italiano,Italy
83,Hellas Verona ,Marco Zaffaroni,Italy
84,Inter Milan ,Simone Inzaghi,Italy
85,Juventude,Massimiliano Allegri,Italy
86,Lazio,Maurizio Sarri,Italy
87,Lecce,Marco Baroni,Italy
88,AC Milan ,Stefano Pioli,Italy
89,Monza,Raffaele Palladino,Italy
90,Napoli,Luciano Spalletti,Italy
91,Roma,José Mourinho,Portugal
92,US Salernitana 1919,Paulo Sousa,Portugal
93,UC Sampdoria ,Dejan Stanković,Serbia
94,US Sassuolo ,Alessio Dionisi,Italy
95,Spezia,Leonardo Semplici,Italy
96,Torino FC ,Ivan Jurić,Croatia
97,Udinese,Andrea Sottil,Italy
